OBS AUSTRUS BRITPUS CDNDLUS DTCHGUS FRNFRUS GERMDUS JAPYNUS SWISFUS
3/13/1980 0.913659205 0.449842555 1.1695  1.999 4.2505  1.8215  248.1 1.744
3/14/1980 0.914745701 0.451875282 1.1786  2.011 4.2755  1.833 249.05  1.754
3/17/1980 0.917852226 0.457142857 1.1847  2.059 4.3755  1.874 248.9 1.788
3/18/1980 0.91954023  0.457456542 1.18  2.0585  4.385 1.877 249.1 1.781
3/19/1980 0.920640766 0.456516777 1.1772  2.0555  4.371 1.873 248.65  1.7735
3/20/1980 0.91954023  0.455788514 1.1789  2.0468  4.349 1.8655  248.7 1.7618
3/21/1980 0.920556016 0.457980307 1.1829  2.056 4.365 1.878 248.92  1.779
3/24/1980 0.920979923 0.457456542 1.1865  2.0685  4.387 1.888 249.15  1.789
3/25/1980 0.921234454 0.456933973 1.1937  2.0763  4.399 1.8974  249.07  1.798
3/26/1980 0.920386562 0.457561199 1.1882  2.0735  4.395 1.897 249.1 1.7945
3/27/1980 0.923446302 0.459981601 1.1875  2.0985  4.426 1.9195  249.9 1.8285
3/28/1980 0.923361034 0.461041955 1.1868  2.111 4.4545  1.932 249.65  1.8325
3/31/1980 0.924385284 0.462962963 1.1915  2.145 4.5115  1.9515  249.95  1.8515
4/01/1980 0.928074246 0.464792006 1.1972  2.1455  4.52  1.9615  254.65  1.864
4/02/1980 0.933532487 0.464252553 1.1904  2.134 4.512 1.9545  257.15  1.856
4/03/1980 0.933096949 0.467508181 1.193 2.142 4.524 1.9635  257.2 1.8635
4/04/1980 0.934579439 0.468384075 1.1925  2.15  4.535 1.97  258.75  1.87
4/07/1980 0.937207123 0.46728972  1.1882  2.1515  4.55  1.975 261.4 1.877
4/08/1980 0.931966449 0.458926113 1.1844  2.118 4.465 1.941 258.2 1.841
4/09/1980 0.925497455 0.457456542 1.1819  2.071 4.37  1.89  251.8 1.786
4/10/1980 0.921658986 0.456308465 1.1812  2.055 4.34  1.877 249.5 1.755
4/11/1980 0.916590284 0.455580866 1.1795  2.058 4.35  1.8765  252.5 1.748
4/14/1980 0.914913083 0.453823463 1.1824  2.0525  4.3425  1.8715  251.35  1.743
4/15/1980 0.915583227 0.457142857 1.1875  2.073 4.368 1.895 252.7 1.7695
4/16/1980 0.913659205 0.451059991 1.187 2.04  4.3175  1.86  249.1 1.731
4/17/1980 0.913659205 0.451467269 1.1852  2.04  4.3075  1.857 248.7 1.737
4/18/1980 0.911743253 0.450755015 1.1845  2.044 4.322 1.854 249.4 1.74
4/21/1980 0.912825194 0.44603033  1.1822  2.033 4.305 1.8485  249.8 1.724
4/22/1980 0.911992704 0.447527411 1.184 2.043 4.329 1.862 250 1.744
4/23/1980 0.909090909 0.440722785 1.1808  2.005 4.253 1.823 243.25  1.699
4/24/1980 0.904159132 0.441793682 1.1819  2.005 4.2385  1.8195  244.65  1.7005
4/25/1980 0.904159132 0.439850451 1.1855  1.996 4.2275  1.813 246 1.694
4/28/1980 0.900495272 0.438020149 1.1872  1.987 4.197 1.7983  241.3 1.6715
4/29/1980 0.896700143 0.440625688 1.1895  1.992 4.202 1.7965  239.3 1.67
4/30/1980 0.896860987 0.442771751 1.1881  1.9915  4.204 1.8 239.35  1.6675
5/01/1980 0.897504936 0.442673749 1.1895  1.994 4.2065  1.802 240.5 1.668
5/02/1980 0.898149811 0.443360674 1.1933  2.0225  4.2475  1.8235  240.35  1.695
5/05/1980 0.897666068 0.438981563 1.19  1.9885  4.205 1.796 237.2 1.6625
5/06/1980 0.89206066  0.438692696 1.1875  1.982 4.192 1.793 231.8 1.6555
5/07/1980 0.889679715 0.438308131 1.1842  1.975 4.187 1.7855  231.85  1.65
5/08/1980 0.889838049 0.437636761 1.1789  1.981 4.202 1.7933  233.6 1.662
5/09/1980 0.889363216 0.441111601 1.1818  1.9975  4.235 1.812 231.8 1.682
5/12/1980 0.886524823 0.438404209 1.1787  1.973 4.1925  1.7907  226.8 1.661
5/13/1980 0.885347499 0.438788943 1.1758  1.9785  4.205 1.7942  227.75  1.667
5/14/1980 0.884564352 0.435255713 1.1749  1.972 4.1895  1.7892  227.2 1.66
5/15/1980 0.885739593 0.434688111 1.1774  1.972 4.185 1.791 227.8 1.6645
5/16/1980 0.887311446 0.437828371 1.1746  1.975 4.195 1.7938  229.6 1.671
5/19/1980 0.885739593 0.437924239 1.1755  1.979 4.204 1.8025  229 1.6765
5/20/1980 0.883782589 0.436490615 1.1741  1.9797  4.201 1.8031  226.75  1.6795
5/21/1980 0.881834215 0.429092469 1.1595  1.9653  4.164 1.7883  224.4 1.6625
5/22/1980 0.879352796 0.429461026 1.1609  1.967 4.159 1.7895  224.05  1.6615
5/23/1980 0.876808417 0.42662116  1.1601  1.952 4.125 1.7785  221.25  1.65
5/27/1980 0.870700914 0.421940928 1.1589  1.9365  4.111 1.7624  219.2 1.6375
5/28/1980 0.872600349 0.423908436 1.1628  1.948 4.1225  1.7723  223.5 1.645
5/29/1980 0.872600349 0.42625746  1.1595  1.953 4.133 1.7785  223.8 1.653
5/30/1980 0.875043752 0.426894344 1.1588  1.954 4.136 1.7785  223 1.662
6/02/1980 0.872219799 0.427990584 1.1588  1.961 4.145 1.7828  223.55  1.6602
6/03/1980 0.874890639 0.43421624  1.1615  1.9528  4.148 1.7753  222.7 1.654
6/04/1980 0.874125874 0.430755977 1.1584  1.949 4.1375  1.7738  221.4 1.647
6/05/1980 0.873515024 0.429092469 1.157 1.9505  4.1335  1.7748  220.35  1.648
6/06/1980 0.871080139 0.428853246 1.153 1.9475  4.124 1.7716  219.3 1.635
6/09/1980 0.866776458 0.425441395 1.1509  1.934 4.1055  1.7622  216.35  1.6225
6/10/1980 0.866851595 0.428687787 1.1505  1.9325  4.104 1.7618  215.8 1.6225
6/11/1980 0.866551127 0.42830221  1.147 1.9365  4.11  1.7655  217.75  1.629
6/12/1980 0.866325912 0.427624546 1.1476  1.9345  4.1115  1.7633  216.5 1.624
6/13/1980 0.864677907 0.426894344 1.1461  1.9245  4.0975  1.755 216 1.6135
6/16/1980 0.864677907 0.427259133 1.1483  1.9375  4.115 1.7677  216 1.634
6/17/1980 0.865426222 0.429074058 1.1521  1.934 4.117 1.763 216 1.63
6/18/1980 0.864677907 0.428761309 1.1501  1.9295  4.102 1.7636  215.75  1.623
6/19/1980 0.865576041 0.428173839 1.1484  1.935 4.1085  1.767 216.35  1.638
6/20/1980 0.86565097  0.428265525 1.1496  1.939 4.11  1.7678  217.2 1.632
6/23/1980 0.864080187 0.427167877 1.1497  1.9378  4.106 1.7673  216.07  1.6345
6/24/1980 0.865201592 0.428137175 1.1493  1.9408  4.109 1.77  216.6 1.64
6/25/1980 0.866175834 0.428082192 1.153 1.9378  4.105 1.7685  217.95  1.6382
6/26/1980 0.865201592 0.426712183 1.152 1.936 4.103 1.7645  217.2 1.6287
6/27/1980 0.865051903 0.426075842 1.1493  1.9335  4.098 1.7635  217.55  1.6275
6/30/1980 0.865800866 0.424538315 1.1512  1.9323  4.094 1.7641  219.9 1.6298
7/01/1980 0.865276456 0.423459665 1.1502  1.928 4.0905  1.7615  219.5 1.6265
7/02/1980 0.864229539 0.42408821  1.147 1.925 4.0775  1.7585  218.8 1.6195
7/03/1980 0.864304235 0.425839969 1.1438  1.9235  4.074 1.756 219 1.613
7/07/1980 0.861697544 0.419727177 1.1423  1.9038  4.039 1.7389  217.9 1.5875
7/08/1980 0.862589494 0.421407501 1.144 1.9035  4.0395  1.7397  219.1 1.591
7/09/1980 0.861846074 0.421318728 1.1453  1.9035  4.043 1.741 218.15  1.5955
7/10/1980 0.860807437 0.420964008 1.1464  1.9015  4.0365  1.7377  216.85  1.5948
7/11/1980 0.860437102 0.420574505 1.1501  1.903 4.039 1.7385  217.7 1.595
7/14/1980 0.861178092 0.420964008 1.1506  1.9075  4.044 1.7437  218.25  1.605
7/15/1980 0.862515094 0.421674046 1.1531  1.9112  4.0625  1.7478  219.4 1.61
7/16/1980 0.861252261 0.421674046 1.1517  1.9083  4.0522  1.7437  218.8 1.6045
7/17/1980 0.860881543 0.420168067 1.1495  1.8992  4.0358  1.736 218.5 1.597
7/18/1980 0.861846074 0.421194508 1.1508  1.9125  4.058 1.747 220.27  1.6107
7/21/1980 0.868357068 0.420256356 1.1533  1.9055  4.0445  1.7415  220.38  1.6025
7/22/1980 0.861178092 0.418760469 1.1531  1.9022  4.035 1.7385  221 1.598
7/23/1980 0.863707031 0.419375131 1.1542  1.901 4.038 1.7397  224.15  1.6005
7/24/1980 0.862291972 0.417275193 1.1528  1.8965  4.0315  1.7353  223.2 1.595
7/25/1980 0.863036161 0.418322527 1.1569  1.9005  4.036 1.7386  225.4 1.5988
7/28/1980 0.863781636 0.419076356 1.1636  1.9043  4.043 1.734 227.4 1.6075
7/29/1980 0.864902266 0.421762969 1.164 1.9175  4.0745  1.7587  226.8 1.6235
7/30/1980 0.865576041 0.425894378 1.1668  1.937 4.11  1.7765  227.05  1.648
7/31/1980 0.868432479 0.426894344 1.1619  1.942 4.122 1.7805  227.4 1.648
8/01/1980 0.869111768 0.428632662 1.1585  1.9562  4.161 1.7932  227 1.663
8/04/1980 0.868432479 0.426894344 1.1579  1.945 4.136 1.785 226.05  1.6495
8/05/1980 0.86640097  0.424538315 1.1574  1.937 4.114 1.7762  226.25  1.6395
8/06/1980 0.864902266 0.421229992 1.1564  1.9285  4.0955  1.7687  225.3 1.63
8/07/1980 0.86565097  0.421976538 1.1583  1.943 4.1215  1.7823  225.7 1.6445
8/08/1980 0.86565097  0.42158516  1.157 1.943 4.1225  1.7832  226.3 1.6505
8/11/1980 0.865351333 0.42162071  1.1598  1.9415  4.1295  1.7828  225.78  1.6505
8/12/1980 0.863707031 0.421407501 1.1607  1.9388  4.125 1.7802  222.9 1.641
8/13/1980 0.862366333 0.420964008 1.1597  1.9395  4.1285  1.7824  224 1.644
8/14/1980 0.86281277  0.420964008 1.159 1.9405  4.1345  1.786 224.4 1.6445
8/15/1980 0.863036161 0.420256356 1.1595  1.9425  4.1365  1.7865  225.75  1.644
8/18/1980 0.865276456 0.422119038 1.1642  1.952 4.159 1.7982  226.3 1.6585
8/19/1980 0.864453665 0.423728814 1.1646  1.957 4.165 1.8 224.38  1.6608
8/20/1980 0.863408738 0.422208149 1.1612  1.9538  4.1575  1.7969  224.15  1.6585
8/21/1980 0.863930886 0.422119038 1.1605  1.955 4.1655  1.7957  224.75  1.6565
8/22/1980 0.863707031 0.422743606 1.1597  1.9665  4.188 1.8072  223.8 1.674
8/25/1980 0.863259669 0.422208149 1.1586  1.9643  4.19  1.8047  223.2 1.6695
8/26/1980 0.860733345 0.420256356 1.1589  1.965 4.189 1.802 219.4 1.6622
8/27/1980 0.860881543 0.418322527 1.1588  1.962 4.1865  1.8002  219.68  1.6615
8/28/1980 0.858369099 0.418585182 1.1559  1.9497  4.1565  1.7873  218 1.645
8/29/1980 0.858516484 0.41736227  1.1576  1.952 4.157 1.792 219.1 1.649
9/02/1980 0.855724799 0.41356493  1.1555  1.9378  4.138 1.778 215.93  1.636
9/03/1980 0.855066268 0.413992962 1.1581  1.9305  4.13  1.776 216.7 1.629
9/04/1980 0.854189801 0.41356493  1.1621  1.9335  4.129 1.7769  217.2 1.63
9/05/1980 0.855798032 0.414421881 1.1629  1.9365  4.1435  1.782 218 1.635
9/08/1980 0.85499316  0.413650465 1.1643  1.9338  4.1345  1.777 216.7 1.6258
9/09/1980 0.854920065 0.416579879 1.1626  1.935 4.138 1.78  216.8 1.6313
9/10/1980 0.854920065 0.416319734 1.1618  1.9345  4.133 1.7787  216.55  1.6302
9/11/1980 0.853898045 0.41467966  1.1624  1.933 4.133 1.7775  214.47  1.6285
9/12/1980 0.852805731 0.414336027 1.1614  1.935 4.1355  1.78  213.2 1.6305
9/15/1980 0.852878465 0.41736227  1.1646  1.9384  4.143 1.783 212.65  1.6322
9/16/1980 0.853460783 0.419023675 1.1661  1.9392  4.146 1.7842  211.47  1.634
9/17/1980 0.852514919 0.418007775 1.1706  1.9378  4.142 1.7813  211.95  1.6303
9/18/1980 0.853315129 0.419463087 1.1682  1.9472  4.1635  1.7919  212.98  1.6418
9/19/1980 0.853096741 0.419199329 1.1667  1.9555  4.172 1.7942  210.8 1.6445
9/22/1980 0.853825137 0.416146484 1.1665  1.9633  4.1975  1.8069  214.8 1.658
9/23/1980 0.85660442  0.416319734 1.1619  1.968 4.198 1.8115  218.15  1.661
9/24/1980 0.856384345 0.41684035  1.1659  1.9513  4.1645  1.795 214.45  1.6445
9/25/1980 0.854554777 0.416805602 1.1664  1.953 4.172 1.7983  215 1.645
9/26/1980 0.854700855 0.418147606 1.1677  1.961 4.179 1.802 211.7 1.6455
9/29/1980 0.855285665 0.418322527 1.1723  1.968 4.2055  1.8135  212.4 1.6543
9/30/1980 0.853970965 0.418935903 1.1705  1.9675  4.202 1.8127  210.85  1.6535
10/01/1980  0.851136267 0.418235048 1.171 1.963 4.1925  1.8085  208.5 1.642
10/02/1980  0.85106383  0.419111484 1.1718  1.9682  4.203 1.8121  208.15  1.646
10/03/1980  0.85106383  0.418707868 1.1684  1.9675  4.202 1.8113  207.6 1.6455
10/06/1980  0.850123268 0.417048962 1.1665  1.9575  4.178 1.799 207.9 1.633
10/07/1980  0.851281178 0.417972832 1.1676  1.9628  4.1882  1.8048  208.85  1.6382
10/08/1980  0.85041245  0.417885499 1.1681  1.9606  4.182 1.8037  208.35  1.638
10/09/1980  0.850484776 0.417153346 1.1659  1.9635  4.1835  1.805 208.95  1.636
10/10/1980  0.850340136 0.416181122 1.165 1.963 4.183 1.8042  209 1.636
10/14/1980  0.849112677 0.415316887 1.1643  1.9739  4.202 1.8174  206.5 1.645
10/15/1980  0.850195545 0.415454923 1.165 1.9818  4.2195  1.8258  207.3 1.6475
10/16/1980  0.850774205 0.413821643 1.1663  1.984 4.224 1.828 208.15  1.6505
10/17/1980  0.850846592 0.414421881 1.1669  1.997 4.255 1.844 208.2 1.658
10/20/1980  0.850846592 0.411607327 1.1671  2.018 4.294 1.865 208.65  1.658
10/21/1980  0.851281178 0.410677618 1.1672  2.016 4.295 1.8617  207.95  1.657
10/22/1980  0.851571149 0.410761963 1.1678  2.018 4.2935  1.8637  209.35  1.664
10/23/1980  0.852514919 0.40950041  1.1691  2.0165  4.292 1.8627  210.4 1.6625
10/24/1980  0.8526603 0.409836066 1.167 2.023 4.3055  1.8668  212.75  1.6755
10/27/1980  0.854700855 0.410172272 1.1718  2.034 4.3285  1.879 213.75  1.6995
10/28/1980  0.855139388 0.410761963 1.1752  2.0485  4.361 1.8935  213.25  1.7075
10/29/1980  0.853898045 0.409668169 1.1745  2.0405  4.346 1.8848  210 1.696
10/30/1980  0.852151683 0.410172272 1.1779  2.0492  4.371 1.898 210.5 1.712
10/31/1980  0.853242321 0.41042479  1.1753  2.06  4.3875  1.9058  211.05  1.715
11/03/1980  0.854116843 0.409332788 1.179 2.071 4.406 1.916 210.8 1.717
11/05/1980  0.853898045 0.408830744 1.1843  2.102 4.474 1.9433  211.35  1.742
11/06/1980  0.85462781  0.410172272 1.1882  2.1053  4.482 1.9458  212.65  1.7453
11/07/1980  0.857780065 0.41356493  1.187 2.1075  4.505 1.958 213.1 1.745
11/10/1980  0.858811405 0.417275193 1.1836  2.058 4.38  1.9015  209.5 1.7075
11/12/1980  0.856164384 0.414421881 1.1827  2.067 4.41  1.9005  213.1 1.7105
11/13/1980  0.854335754 0.413650465 1.1849  2.0535  4.39  1.893 212.3 1.704
11/14/1980  0.856017805 0.416146484 1.1865  2.063 4.413 1.905 212.9 1.714
11/17/1980  0.856751199 0.417710944 1.189 2.0945  4.475 1.931 213.6 1.737
11/18/1980  0.857632933 0.418410042 1.1882  2.082 4.448 1.919 213.3 1.727
11/19/1980  0.856017805 0.420875421 1.1867  2.063 4.412 1.9025  212.65  1.7155
11/20/1980  0.85660442  0.419287212 1.1872  2.073 4.435 1.9148  213.7 1.7235
11/21/1980  0.857485851 0.423998304 1.1855  2.0775  4.455 1.917 213.8 1.728
11/24/1980  0.856677803 0.427533134 1.1909  2.08  4.4525  1.9173  213.35  1.7315
11/25/1980  0.856971463 0.42462845  1.1882  2.0735  4.4415  1.911 213.65  1.7265
11/26/1980  0.858221765 0.422029964 1.1878  2.0845  4.4585  1.9213  216.45  1.7285
11/28/1980  0.859106529 0.424178155 1.1899  2.088 4.472 1.9269  216.6 1.7385
12/01/1980  0.860437102 0.425803704 1.1929  2.103 4.501 1.9405  217.85  1.7525
12/02/1980  0.859106529 0.42707666  1.1932  2.1075  4.515 1.948 216.55  1.7575
12/03/1980  0.859549596 0.42625746  1.1945  2.1025  4.5 1.9395  213.55  1.7505
12/04/1980  0.85785365  0.426584762 1.1917  2.105 4.502 1.9435  211 1.7515
12/05/1980  0.857780065 0.427533134 1.1959  2.1245  4.536 1.961 211.6 1.7715
12/08/1980  0.855066268 0.426712183 1.1954  2.128 4.5365  1.963 208.5 1.775
12/09/1980  0.856898029 0.428173839 1.1986  2.15  4.582 1.983 209.1 1.7925
12/10/1980  0.856237692 0.427350427 1.2 2.1775  4.642 2.0075  210.1 1.82
12/11/1980  0.859845228 0.43205876  1.201 2.191 4.6575  2.0185  210.45  1.827
12/12/1980  0.859623485 0.430385195 1.2038  2.183 4.635 2.007 210.5 1.8165
12/15/1980  0.85741233  0.429645542 1.2046  2.165 4.625 1.99  209.4 1.809
12/16/1980  0.858663919 0.433087917 1.2109  2.193 4.674 2.0185  208.75  1.8305
12/17/1980  0.858663919 0.429184549 1.2087  2.1515  4.5925  1.9785  208.9 1.803
12/18/1980  0.858148116 0.430292599 1.2027  2.1635  4.615 1.993 209.5 1.807
12/19/1980  0.856898029 0.427167877 1.1929  2.1475  4.586 1.9735  208.2 1.801
12/22/1980  0.855505176 0.425350915 1.1942  2.13  4.54  1.957 207.65  1.773
12/23/1980  0.852151683 0.422297297 1.1923  2.121 4.4975  1.9525  207.9 1.775
12/24/1980  0.85106383  0.423728814 1.1924  2.12  4.485 1.943 208 1.763
12/26/1980  0.850340136 0.420344683 1.192 2.1175  4.525 1.9425  208.4 1.7725
12/29/1980  0.85106383  0.422654269 1.1881  2.133 4.5395  1.955 206.65  1.775
12/30/1980  0.847457627 0.418410042 1.1887  2.123 4.523 1.952 203.1 1.767
12/31/1980  0.84645336  0.418585182 1.1945  2.15  4.5475  1.9735  203.1 1.7875
1/02/1981 0.847314015 0.419815281 1.1948  2.1475  4.565 1.975 202.5 1.79
1/05/1981 0.844095552 0.413992962 1.1886  2.106 4.4915  1.939 199.05  1.757
1/06/1981 0.841042893 0.412796698 1.1882  2.105 4.4755  1.935 199.7 1.7505
1/07/1981 0.841042893 0.41467966  1.188 2.116 4.5025  1.9475  201.05  1.767
1/08/1981 0.842815002 0.416059913 1.1879  2.1345  4.5425  1.9632  201.7 1.7746
1/09/1981 0.843739453 0.417536534 1.1883  2.149 4.5725  1.9785  203 1.797
1/12/1981 0.847457627 0.417188152 1.1894  2.1595  4.588 1.9852  204.1 1.805
1/13/1981 0.847960655 0.418760469 1.1903  2.176 4.629 2.0005  203.3 1.812
1/14/1981 0.846883469 0.416233091 1.1909  2.167 4.614 1.9925  203.05  1.807
1/15/1981 0.846381718 0.416579879 1.1898  2.176 4.632 2.0005  201.75  1.8155
1/16/1981 0.848320326 0.417798203 1.1919  2.1795  4.64  2.007 202.9 1.822
1/19/1981 0.846740051 0.415800416 1.1901  2.182 4.64  2.009 202.3 1.829
1/20/1981 0.84623847  0.413479429 1.1904  2.1735  4.6405  2 200.65  1.819
1/21/1981 0.842815002 0.412031314 1.1894  2.167 4.605 1.9935  199.2 1.812
1/22/1981 0.845594453 0.416146484 1.1911  2.1985  4.68  2.0245  200.85  1.8335
1/23/1981 0.847314015 0.415454923 1.1906  2.208 4.698 2.035 202.75  1.8405
1/26/1981 0.841750842 0.413907285 1.19  2.228 4.733 2.0518  203.55  1.851
1/27/1981 0.849617672 0.416319734 1.1916  2.248 4.769 2.071 202.5 1.8695
1/28/1981 0.850701829 0.415230661 1.1943  2.264 4.799 2.085 204.5 1.8825
1/29/1981 0.851788756 0.417222964 1.198 2.2735  4.8265  2.094 204.6 1.903
1/30/1981 0.848608282 0.422743606 1.1943  2.31  4.9075  2.132 206.7 1.932
2/02/1981 0.855431993 0.425713069 1.1941  2.299 4.8915  2.121 203.15  1.92
2/03/1981 0.858958942 0.425441395 1.1971  2.315 4.92  2.135 204.05  1.937
2/04/1981 0.85719184  0.424448217 1.1954  2.294 4.8665  2.114 202.9 1.916
2/05/1981 0.857927248 0.427259133 1.1971  2.3275  4.946 2.146 202.95  1.944
2/06/1981 0.857927248 0.427350427 1.1961  2.3225  4.925 2.1405  203.8 1.942
2/09/1981 0.857927248 0.427259133 1.1972  2.3185  4.9205  2.138 203.9 1.941
2/10/1981 0.858148116 0.427899016 1.1989  2.3295  4.945 2.148 203.9 1.9485
2/11/1981 0.858221765 0.427807487 1.1967  2.3305  4.955 2.1495  203.9 1.952
2/13/1981 0.865351333 0.437732545 1.2011  2.406 5.1075  2.22  207.45  2.0175
2/17/1981 0.865426222 0.441891295 1.2061  2.388 5.088 2.196 206.8 1.9955
2/18/1981 0.862440707 0.441306267 1.2034  2.382 5.08  2.1875  206.55  1.988
2/19/1981 0.862589494 0.437828371 1.1993  2.329 4.98  2.132 206.8 1.925
2/20/1981 0.856898029 0.432900433 1.1956  2.285 4.91  2.096 206.8 1.885
2/23/1981 0.857265324 0.445632799 1.1967  2.3115  4.925 2.112 208.05  1.9025
2/24/1981 0.860215054 0.447828034 1.1985  2.335 4.9675  2.116 207 1.919
2/25/1981 0.861326443 0.448833034 1.1977  2.327 4.956 2.107 207.3 1.9165
2/26/1981 0.863185153 0.449135414 1.1996  2.3425  4.981 2.116 207.9 1.948
2/27/1981 0.865800866 0.453720508 1.2013  2.352 5.015 2.131 209.7 1.962
3/02/1981 0.868432479 0.45861041  1.2036  2.3775  5.0705  2.152 211.1 1.9825
3/03/1981 0.868658791 0.453514739 1.2034  2.3775  5.0525  2.1525  208.6 1.971
3/04/1981 0.864902266 0.454959054 1.203 2.362 5.03  2.138 208.6 1.9475
3/05/1981 0.86565097  0.453720508 1.201 2.365 5.032 2.1385  208.9 1.945
3/06/1981 0.865800866 0.456100342 1.1996  2.362 5.024 2.136 209 1.9575
3/09/1981 0.864378944 0.451467269 1.1977  2.3375  4.984 2.1085  206 1.929
3/10/1981 0.860585198 0.448833034 1.1972  2.331 4.967 2.1075  207 1.923
3/11/1981 0.861252261 0.451161741 1.1986  2.3415  4.993 2.116 207.6 1.937
3/12/1981 0.861178092 0.450653447 1.198 2.3395  4.984 2.113 207.6 1.937
3/13/1981 0.860437102 0.451059991 1.1926  2.335 4.978 2.1095  207.55  1.927
3/16/1981 0.858516484 0.447127208 1.1906  2.316 4.938 2.0918  207.27  1.902
3/17/1981 0.857632933 0.444642063 1.1864  2.309 4.928 2.088 207.7 1.9005
3/18/1981 0.854554777 0.438885232 1.1823  2.275 4.854 2.0555  207.6 1.865
3/19/1981 0.853460783 0.438500329 1.1818  2.27  4.8325  2.05  208.75  1.87
